class	pieces	slots	positions	win	loss	draw	illegal	iters	secs
KvK	2	?	2160	0	0	2160	880	1	0
KQvK	3	?	27768	8328	13888	5552	26952	7	1
KBvK	3	?	34848	0	0	34848	19872	1	1
KNvK	3	?	35616	0	0	35616	19104	1	1
KRvK	3	?	31800	12360	14688	4752	22920	10	1
KPvK	3	?	29984	9464	5520	15000	24736	19	1
KvKQ	3	?	27768	8328	13888	5552	26952	7	1
KvKB	3	?	34848	0	0	34848	19872	1	1
KvKN	3	?	35616	0	0	35616	19104	1	1
KvKR	3	?	31800	12360	14688	4752	22920	10	1
KvKP	3	?	29984	9464	5520	15000	24736	18	1
KQvKQ	4	?	298912	162240	5952	130720	631328	9	77
KQvKB	4	?	413408	147952	154800	110656	516832	10	77
KQvKN	4	?	424448	146032	162624	115792	505792	12	77
KQvKR	4	?	365440	230368	88096	46976	564800	21	77
KBvKQ	4	?	413408	147952	154800	110656	516832	10	77
KBvKB	4	?	527904	768	384	526752	402336	2	77
KBvKN	4	?	538944	192	64	538688	391296	2	77
KBvKR	4	?	479936	208688	150832	120416	450304	32	77
KNvKQ	4	?	424448	146032	162624	115792	505792	12	77
KNvKB	4	?	538944	192	64	538688	391296	2	77
KNvKN	4	?	549984	256	64	549664	380256	2	77
KNvKR	4	?	490976	143504	54952	292520	439264	16	77
KRvKQ	4	?	365440	230368	88096	46976	564800	21	77
KRvKB	4	?	479936	208688	150832	120416	450304	32	77
KRvKN	4	?	490976	143504	54952	292520	439264	16	77
KRvKR	4	?	431968	184608	5856	241504	498272	8	77
KPvKQ	4	?	365912	150744	155944	59224	564328	10	77
KPvKB	4	?	457120	65704	9344	382072	473120	7	77
KPvKN	4	?	465496	65936	11048	388512	464744	9	77
KPvKR	4	?	418520	200378	122040	96102	511720	15	77
KQvKP	4	?	365912	150744	155944	59224	564328	11	77
KBvKP	4	?	457120	65704	9344	382072	473120	6	77
KNvKP	4	?	465496	65936	11048	388512	464744	10	77
KRvKP	4	?	418520	200378	122040	96102	511720	14	77
KPvKP	4	?	394144	138048	41632	214464	536096	12	77
KBBvK	4	?	268040	48184	49360	170496	197080	12	1
KNNvK	4	?	278888	784	256	277848	186232	2	1
KRRvK	4	?	230120	64880	159456	5784	235000	6	1
KvKBB	4	?	268040	48184	49360	170496	197080	12	1
KvKNN	4	?	278888	784	256	277848	186232	2	1
KvKRR	4	?	230120	64880	159456	5784	235000	6	1
KBQvK	4	?	448032	117552	245888	84592	482208	6	10
KBNvK	4	?	551984	212672	196520	142792	378256	17	10
KBRvK	4	?	506384	175904	258600	71880	423856	9	10
KBPvK	4	?	460152	172776	168064	119312	470088	14	10
KNQvK	4	?	458864	128384	247024	83456	471376	6	10
KNRvK	4	?	512352	181872	258144	72336	417888	9	10
KNPvK	4	?	469640	190720	175264	103656	460600	18	10
KQRvK	4	?	420160	89680	307248	23232	510080	5	9
KPRvK	4	?	426536	161336	238992	26208	503704	9	9
KvKBQ	4	?	448032	117552	245888	84592	482208	6	10
KvKBN	4	?	551984	212672	196520	142792	378256	17	10
KvKBR	4	?	506384	175904	258600	71880	423856	9	10
KvKBP	4	?	460152	172776	168064	119312	470088	14	10
KvKNQ	4	?	458864	128384	247024	83456	471376	6	10
KvKNR	4	?	512352	181872	258144	72336	417888	9	10
KvKNP	4	?	469640	190720	175264	103656	460600	17	10
KvKQR	4	?	420160	89680	307248	23232	510080	5	9
KvKPR	4	?	426536	161336	238992	26208	503704	9	9
KBBvKQ	5	?	2929776	1434576	675496	819704	4512144	25	167
KBBvKB	5	?	3801248	427216	104000	3270032	3640672	16	167
KBBvKN	5	?	3873856	625056	301936	2946864	3568064	52	167
KBBvKR	5	?	3446288	1150168	123880	2172240	3995632	17	167
KBBvKP	5	?	3310392	775848	425128	2109416	4131528	23	167
KNNvKQ	5	?	3074224	1050184	533256	1490784	4367696	26	160
KNNvKB	5	?	3945696	22480	6144	3917072	3496224	7	160
KNNvKN	5	?	4018304	51424	11408	3955472	3423616	9	160
KNNvKR	5	?	3590736	329600	25400	3235736	3851184	9	160
KNNvKP	5	?	3419760	895672	428792	2095296	4022160	49	160
KQvKBB	5	?	2929776	1434576	675496	819704	4512144	25	164
KBvKBB	5	?	3801248	427216	104000	3270032	3640672	16	164
KNvKBB	5	?	3873856	625056	301936	2946864	3568064	52	164
KRvKBB	5	?	3446288	1150168	123880	2172240	3995632	17	164
KPvKBB	5	?	3310392	775848	425128	2109416	4131528	24	164
KQvKNN	5	?	3074224	1050184	533256	1490784	4367696	26	160
KBvKNN	5	?	3945696	22480	6144	3917072	3496224	7	160
KNvKNN	5	?	4018304	51424	11408	3955472	3423616	9	160
KRvKNN	5	?	3590736	329600	25400	3235736	3851184	9	160
KPvKNN	5	?	3419760	895672	428792	2095296	4022160	48	160
KQvKRR	5	?	2362400	1498098	511880	352422	5079520	34	128
KBvKRR	5	?	3233872	1106368	2099808	27696	4208048	8	128
KNvKRR	5	?	3306480	1101760	1798400	406320	4135440	9	128
KRvKRR	5	?	2878912	1108824	1081632	688456	4563008	14	128
KPvKRR	5	?	2852040	924784	1791062	136194	4589880	6	128
KRRvKQ	5	?	2362400	1498098	511880	352422	5079520	34	122
KRRvKB	5	?	3233872	1106368	2099808	27696	4208048	8	122
KRRvKN	5	?	3306480	1101760	1798400	406320	4135440	9	122
